date,open,high,low,close,volume
1993-01-29,24.130409,24.130409,24.010357,24.113258,1003200
1993-02-01,24.130413,24.284765,24.130413,24.284765,480500
1993-02-02,24.267592,24.353343,24.216141,24.336193,201300
1993-02-03,24.370511,24.610614,24.353360,24.593464,529400
1993-02-04,24.679213,24.747814,24.404809,24.696363,531500
1993-02-05,24.679216,24.730667,24.542014,24.679216,492100
1993-02-08,24.679216,24.764968,24.644916,24.679216,596100
1993-02-09,24.593459,24.593459,24.456257,24.507708,122100
1993-02-10,24.507718,24.559169,24.439117,24.542019,379600
1993-02-11,24.576316,24.764969,24.576316,24.662067,19500
1993-02-12,24.627770,24.627770,24.473417,24.473417,42500
1993-02-16,24.404811,24.404811,23.821702,23.856003,374800
1993-02-17,23.856019,23.890320,23.753118,23.838869,210900
1993-02-18,24.113267,24.113267,23.495858,23.821712,378100
1993-02-19,23.821716,23.907467,23.787415,23.907467,34900
1993-02-22,23.976065,24.027516,23.907464,23.993216,513600
1993-02-23,24.061810,24.078961,23.856007,23.976059,373700
1993-02-24,23.993211,24.284765,23.993211,24.284765,26300
1993-02-25,24.267592,24.353343,24.216141,24.336193,44500
1993-02-26,24.387678,24.387678,24.250475,24.370527,66200
1993-03-01,24.456268,24.456268,24.267616,24.301916,66500
1993-03-02,24.319062,24.662067,24.284762,24.662067,182400
1993-03-03,24.696372,24.782123,24.662071,24.764973,280100
1993-03-04,24.799276,24.799276,24.627773,24.627773,89500
1993-03-05,24.662064,24.764965,24.542012,24.559162,40000
1993-03-08,24.610614,25.107971,24.610614,25.107971,50800
1993-03-09,25.056531,25.073681,24.970779,25.022230,169300
1993-03-10,25.022219,25.073669,24.919317,25.073669,194400
1993-03-11,25.090815,25.159416,24.970764,25.005064,70900
1993-03-12,24.799274,24.816425,24.593471,24.747824,643600
1993-03-15,24.730663,24.867865,24.730663,24.867865,310800
1993-03-16,24.867865,24.936466,24.867865,24.867865,30800
1993-03-17,24.833580,24.833580,24.679227,24.713528,21800
1993-03-18,24.816414,24.970766,24.816414,24.867865,59300
1993-03-19,24.968096,24.968096,24.830246,24.830246,66900
1993-03-22,24.588995,24.744077,24.571764,24.692383,183400
1993-03-23,24.761318,24.778550,24.709625,24.744087,55200
1993-03-24,24.709625,24.847475,24.589006,24.744087,37200
1993-03-25,24.761312,24.950856,24.726850,24.899162,110100
